ENSG00000204138.13	PHACTR4
ENSG00000229820.2	CR391992.1
ENSG00000180198.16	RCC1
ENSG00000231468.2	PRDX3P2
ENSG00000180098.9	TRNAU1AP
ENSG00000120656.11	TAF12
ENSG00000188060.7	RAB42
ENSG00000162419.12	GMEB1
ENSG00000198492.16	YTHDF2
ENSG00000116329.11	OPRD1
ENSG00000159023.21	EPB41
ENSG00000225616.2	AL138785.1
ENSG00000253304.2	TMEM200B
ENSG00000116350.17	SRSF4
ENSG00000116353.16	MECR
ENSG00000060656.20	PTPRU
ENSG00000225011.4	AL671862.1
ENSG00000270927.1	AL645944.1
ENSG00000231251.1	AL021921.1
ENSG00000162510.6	MATN1
ENSG00000162511.8	LAPTM5
ENSG00000162512.16	SDC3
ENSG00000134644.15	PUM1
ENSG00000237329.2	AL356320.2
ENSG00000232768.1	AL356320.1
ENSG00000215900.4	SELENOWP1
ENSG00000225142.2	AC114495.1
ENSG00000084628.10	NKAIN1
ENSG00000060688.13	SNRNP40
ENSG00000229447.2	AC114495.2
ENSG00000121766.15	ZCCHC17
ENSG00000121769.8	FABP3
ENSG00000168528.12	SERINC2
ENSG00000215899.3	AC209007.1
ENSG00000260386.6	LDC1P
ENSG00000142910.16	TINAGL1
ENSG00000121764.11	HCRTR1
ENSG00000162517.13	PEF1
ENSG00000084636.18	COL16A1
ENSG00000121753.12	ADGRB2
ENSG00000134668.12	SPOCD1
ENSG00000184007.21	PTP4A2
ENSG00000121774.18	KHDRBS1
ENSG00000121775.18	TMEM39B
ENSG00000025800.14	KPNA6
ENSG00000084652.16	TXLNA
ENSG00000160050.14	CCDC28B
ENSG00000160051.11	IQCC
ENSG00000222046.2	DCDC2B
ENSG00000160055.19	TMEM234
ENSG00000084623.11	EIF3I
ENSG00000220785.7	MTMR9LP
ENSG00000183615.6	FAM167B
ENSG00000182866.17	LCK
ENSG00000116478.12	HDAC1
ENSG00000175130.7	MARCKSL1
ENSG00000162526.7	TSSK3
ENSG00000225828.1	FAM229A
ENSG00000160058.18	BSDC1
ENSG00000224333.1	GAPDHP20
ENSG00000270850.1	AL356986.1
ENSG00000229259.1	LRRC37A12P
ENSG00000254553.1	AL033529.1
ENSG00000273274.2	ZBTB8B
ENSG00000160062.15	ZBTB8A
ENSG00000176261.15	ZBTB8OS
ENSG00000162521.19	RBBP4
ENSG00000162520.15	SYNC
ENSG00000162522.11	KIAA1522
ENSG00000134684.10	YARS
ENSG00000116497.18	S100PBP
ENSG00000160097.18	FNDC5
ENSG00000121905.10	HPCA
ENSG00000121900.19	TMEM54
ENSG00000116514.16	RNF19B
ENSG00000217644.5	AL355864.1
ENSG00000239670.1	AL355864.2
ENSG00000004455.17	AK2
ENSG00000142920.17	AZIN2
ENSG00000116525.14	TRIM62
ENSG00000160094.15	ZNF362
ENSG00000184389.9	A3GALT2
ENSG00000134686.18	PHC2
ENSG00000234512.1	TLR12P
ENSG00000121903.14	ZSCAN20
ENSG00000235907.2	AC115285.1
ENSG00000121904.17	CSMD2
ENSG00000227000.2	HSPD1P14
ENSG00000176256.10	HMGB4
ENSG00000201148.1	RNA5SP42
ENSG00000142698.15	C1orf94
ENSG00000270241.1	AC115286.1
ENSG00000163866.9	SMIM12
ENSG00000189280.3	GJB5
ENSG00000189433.7	GJB4
ENSG00000188910.8	GJB3
ENSG00000187513.9	GJA4
ENSG00000116544.12	DLGAP3
ENSG00000284773.1	AC114490.3
ENSG00000241014.2	AC114490.1
ENSG00000271741.1	AC114490.2
ENSG00000163867.17	ZMYM6
ENSG00000197056.11	ZMYM1
ENSG00000233940.1	RPL12P45
ENSG00000228348.1	EFCAB14P1
ENSG00000116560.11	SFPQ
ENSG00000146463.12	ZMYM4
ENSG00000229994.1	RPL5P4
ENSG00000142687.18	KIAA0319L
ENSG00000236274.1	AC004865.1
ENSG00000020129.16	NCDN
ENSG00000116819.8	TFAP2E
ENSG00000126067.12	PSMB2
ENSG00000142686.8	C1orf216
ENSG00000092853.14	CLSPN
ENSG00000134698.11	AGO4
ENSG00000092847.12	AGO1
ENSG00000271164.1	AL139286.1
ENSG00000126070.20	AGO3
ENSG00000232862.5	AL138787.1
ENSG00000092850.12	TEKT2
ENSG00000116863.11	ADPRHL2
ENSG00000171812.13	COL8A2
